avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
,12,1995-01-22,6.30,,24,1,4,"186cm, 97kg",20,0,최채흥,56,,,투수,,,,14,0,삼성,0,1.80
,,1997-03-05,,,,,,"190cm, 85kg",,,최충연,51,,,투수,,,,,,삼성,,
,16,1999-03-26,5.34,,26,1,2,"190cm, 99kg",32,1,최하늘,37,,,투수,,,,18,0,삼성,1,1.31
0.333,1,1997-10-10,,8,,,2,"185cm, 83kg",,,카데나스,,0.360,1.027,외야수,2,5,0,6,,삼성,,
,40,1996-01-24,3.43,,135,0,21,"188cm, 95kg",160,6,코너,52,,,투수,,,,158,0,삼성,11,1.09
,,2002-01-11,,,,,,"188cm, 92kg",,,홍무원,46,,,투수,,,,,,삼성,,
,6,2001-03-27,4.26,,4,0,1,"183cm, 86kg",6 1/3,0,홍원표,65,,,투수,,,,5,0,삼성,0,1.58
,1,1996-03-16,45.00,,5,0,1,"182cm, 85kg",1,0,홍정우,11,,,투수,,,,1,0,삼성,0,6.00
,18,2001-11-03,4.07,,38,0,2,"191cm, 97kg",42,2,황동재,61,,,투수,,,,30,0,삼성,1,1.33
,3,2002-10-14,20.25,,2,0,1,"184cm, 86kg",1 1/3,0,강효종,46,,,투수,,,,2,0,LG,0,3.75
0.257,38,1997-01-11,,87,,,2,"177cm, 75kg",,,구본혁,6,0.335,0.662,내야수,48,43,8,51,,LG,,
0.500,0,2001-11-07,,2,,,0,"172cm, 70kg",,,김대원,64,0.500,1.000,내야수,5,0,2,1,,LG,,
,18,1997-03-08,5.40,,33,1,6,"188cm, 100kg",35,0,김대현,12,,,투수,,,,30,1,LG,2,1.46
0.150,1,1998-03-18,,3,,,0,"184cm, 97kg",,,김민수,53,0.227,0.377,내야수,1,0,0,4,,LG,,
0.241,14,2004-05-21,,39,,,6,"178cm, 110kg",,,김범석,55,0.306,0.683,포수,14,24,0,49,,LG,,
0.000,0,2003-11-15,,0,,,0,"180cm, 85kg",,,김성우,44,0.000,0.000,포수,0,0,0,4,,LG,,
0.267,1,2000-03-17,,4,,,1,"183cm, 100kg",,,김성진,36,0.313,0.780,내야수,1,2,0,4,,LG,,
0.000,0,1997-10-19,,0,,,0,"178cm, 81kg",,,김수인,43,0.000,0.000,내야수,0,0,0,2,,LG,,
,9,1999-01-12,8.22,,21,0,2,"185cm, 90kg",15 1/3,1,김영준,35,,,투수,,,,11,0,LG,1,1.96
,16,1994-05-02,3.78,,50,6,2,"180cm, 83kg",47 2/3,2,김유영,0,,,투수,,,,42,1,LG,1,1.38
,1,2000-04-03,12.00,,7,0,0,"181cm, 83kg",3,0,김윤식,,,,투수,,,,1,0,LG,0,2.67
0.167,3,1998-01-30,,1,,,0,"180cm, 81kg",,,김주성,5,0.444,0.611,내야수,1,0,0,0,,LG,,
,3,1996-12-08,15.43,,8,0,2,"187cm, 89kg",4 2/3,0,김주온,52,,,투수,,,,4,0,LG,0,2.36
,23,1985-03-07,3.97,,62,27,11,"186cm, 90kg",70 1/3,3,김진성,42,,,투수,,,,61,1,LG,3,1.21
,4,1998-08-31,6.75,,17,0,3,"179cm, 82kg",13 1/3,1,김진수,45,,,투수,,,,6,0,LG,0,1.58
0.294,47,1988-01-12,,152,,,8,"188cm, 105kg",,,김현수,22,0.357,0.775,외야수,61,69,6,76,,LG,,
0.200,0,2004-08-04,,3,,,0,"186cm, 85kg",,,김현종,66,0.250,0.517,외야수,8,2,0,4,,LG,,
0.301,65,2000-07-19,,156,,,22,"182cm, 88kg",,,문보경,2,0.372,0.879,내야수,80,101,7,112,,LG,,
