avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
0.190,2,2005-04-17,,16,,,1,"183cm, 85kg",,,이재상,5,0.227,0.465,내야수,7,5,0,33,,키움,,
,22,2001-06-04,7.63,,56,0,9,"185cm, 96kg",43 2/3,8,이종민,66,,,투수,,,,21,0,키움,1,1.79
0.266,49,2001-04-02,,126,,,13,"181cm, 80kg",,,이주형,2,0.352,0.754,외야수,82,60,6,119,,키움,,
0.216,22,1989-06-07,,22,,,4,"183cm, 87kg",,,이형종,36,0.360,0.723,외야수,19,19,1,27,,키움,,
0.241,4,1995-09-30,,21,,,3,"187cm, 94kg",,,임병욱,35,0.272,0.651,외야수,14,10,1,32,,키움,,
0.102,7,1995-08-22,,5,,,1,"180cm, 94kg",,,임지열,29,0.211,0.374,내야수,4,5,0,16,,키움,,
0.168,17,2002-05-10,,20,,,4,"187cm, 83kg",,,장재영,61,0.288,0.582,외야수,14,13,0,64,,키움,,
,20,2005-05-07,6.83,,35,0,4,"186cm, 90kg",27 2/3,4,전준표,62,,,투수,,,,18,0,키움,2,1.99
,3,1990-01-26,7.88,,26,0,3,"186cm, 95kg",16,2,정찬헌,58,,,투수,,,,5,0,키움,0,1.81
,20,1994-09-04,3.18,,40,9,2,"186cm, 97kg",39 2/3,1,조상우,11,,,투수,,,,36,6,키움,0,1.51
,24,1999-02-04,8.01,,51,1,7,"180cm, 85kg",39 1/3,1,조영건,20,,,투수,,,,31,0,키움,2,1.91
0.200,6,2000-08-30,,11,,,1,"182cm, 95kg",,,주성원,25,0.279,0.552,외야수,7,5,0,18,,키움,,
,18,2000-01-30,4.35,,50,5,4,"180cm, 82kg",51 2/3,6,주승우,30,,,투수,,,,43,14,키움,4,1.32
0.257,47,1988-02-28,,124,,,13,"177cm, 73kg",,,최주환,53,0.325,0.715,내야수,49,84,0,92,,키움,,
,58,1995-05-07,4.37,,168,0,8,"183cm, 74kg",150 1/3,8,하영민,50,,,투수,,,,101,0,키움,9,1.50
,44,1996-12-10,3.68,,171,0,22,"192cm, 104kg",171 1/3,11,헤이수스,54,,,투수,,,,178,0,키움,13,1.25
,32,1996-01-30,3.36,,185,0,19,"187cm, 109kg",190 1/3,8,후라도,75,,,투수,,,,169,0,키움,10,1.14
